Product title,Product variant title,Week,Ending inventory units,Inventory units sold
"Amelia Labor & Postpartum Gown Lilac","Full Figure","2026-02-09","1","0"
"Robes in Plum","Laura Robe / Long","2026-02-09","-14","0"
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","2026-02-09","64","0"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-02-09","27","0"
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","2026-02-09","10","4"
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite","2026-02-09","-2","2"
"Finley Romper in Emerald","Emerald / Newborn","2026-02-09","-4","2"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","2026-02-09","-1","3"
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","2026-02-09","33","0"
"Baby Swaddle Set: Emerald","Hat & Bow","2026-02-09","82","1"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-02-09","12","13"
"Baby Swaddle Set: Sage","Hat & Bow","2026-02-09","-14","1"
"Amelia Labor & Postpartum Gown Lilac","Petite","2026-02-09","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","2026-02-09","12","1"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-02-09","4","0"
"Baby Swaddle Set: Midnight Blue","Hat & Bow","2026-02-09","170","0"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","2026-02-09","61","11"
"Lila Labor & Postpartum Gown in Black","Black / Standard","2026-02-09","293","14"
"Baby Swaddle Set: Lilac","Hat & Bow","2026-02-09","38","0"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-02-09","-2","0"
"Robes in Vintage Floral","Mia Robe / Short","2026-02-09","-5","0"
"Baby Swaddle Set: Black","Bow","2026-02-09","125","4"
"Finley Romper in Emerald","Emerald / 6-9 Months","2026-02-09","19","0"
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months","2026-02-09","37","0"
"Finley Romper in Lilac","Lilac / 6-9 Months","2026-02-09","20","0"
"Finley Romper in Lilac","Lilac / Newborn","2026-02-09","17","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","2026-02-09","9","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Full Figure","2026-02-09","36","5"
"Amelia Labor & Postpartum Gown in Sage","Sage / Petite","2026-02-09","2","2"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","2026-02-09","2","3"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","2026-02-09","5","3"
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","2026-02-09","10","15"
"Robes in Emerald","Mia Robe / Short","2026-02-09","21","5"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","2026-02-09","7","1"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-02-09","14","0"
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","2026-02-09","9","4"
"Finley Romper in Emerald","Emerald / 3-6 Months","2026-02-09","80","2"
"Finley Romper in Black","Black / 3-6 Months","2026-02-09","11","0"
"Finley Romper in Black","Black / 18-24 Months","2026-02-09","83","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","2026-02-09","17","5"
"Robes in Lilac","Laura Robe / Long","2026-02-09","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Medium","2026-02-09","10","2"
"Finley Romper in Dusty Rose","Dusty Rose / 6-9 Months","2026-02-09","32","0"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","2026-02-09","28","3"
"Robes in Lilac","Mia Robe / Short","2026-02-09","9","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-02-09","0","0"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-02-09","3","2"
"Finley Romper in Deep Teal","Deep Teal / Newborn","2026-02-09","186","2"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","2026-02-09","5","3"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","2026-02-09","28","2"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Full Figure","2026-02-09","-1","1"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","2026-02-09","17","2"
"Amelia Labor & Postpartum Gown in Black","Black / Petite","2026-02-09","1","0"
"Finley Romper in Emerald","Emerald / 9-12 Months","2026-02-09","83","0"
"Finley Romper in Plum","Plum / 3-6 Months","2026-02-09","0","0"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","2026-02-09","4","10"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","2026-02-09","1","4"
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","2026-02-09","33","0"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-02-09","0","0"
"Baby Swaddle Set: Dusty Rose","Hat & Bow","2026-02-09","0","0"
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","2026-02-09","179","40"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","2026-02-09","23","0"
"Amelia Labor & Postpartum Gown in Plum","Plum / Slim Petite","2026-02-09","-1","0"
"Robes in Sage","Laura Robe / Long","2026-02-09","3","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","2026-02-09","31","1"
"Finley Romper in Plum","Plum / 6-9 Months","2026-02-09","115","0"
"Robes in Black","Mia Robe / Short","2026-02-09","4","4"
"Robes in Deep Teal","Mia Robe / Short","2026-02-09","45","8"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-02-09","13","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-02-09","80","41"
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","2026-02-09","15","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-02-09","3","18"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite","2026-02-09","-7","1"
"Finley Romper in Plum","Plum / Newborn","2026-02-09","92","0"
"Finley Romper in Black","Black / 12-18 Months","2026-02-09","41","0"
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","2026-02-09","33","0"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","2026-02-09","1","0"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","2026-02-09","10","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","2026-02-09","2","3"
"Finley Romper in Vintage Floral","Vintage Floral / Newborn","2026-02-09","159","7"
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-02-09","0","6"
"Amelia Labor & Postpartum Gown in Plum","Plum / Curve","2026-02-09","1","0"
"Robes in Midnight Blue","Laura Robe / Long","2026-02-09","24","4"
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months","2026-02-09","20","0"
"Robes in Periwinkle","Laura Robe / Long","2026-02-09","-1","0"
"Amelia Labor & Postpartum Gown in Black","Black / Standard","2026-02-09","3","0"
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","2026-02-09","0","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Petite","2026-02-09","1","3"
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","2026-02-09","65","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","2026-02-09","0","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-02-09","2","0"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite","2026-02-09","-3","0"
"Baby Swaddle Set: Vintage Floral","Hat & Bow","2026-02-09","70","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","2026-02-09","-2","1"
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","2026-02-09","44","5"
"Finley Romper in Lilac","Lilac / Newborn","2026-02-16","17","0"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Standard","2026-02-16","62","1"
"Finley Romper in Lilac","Lilac / 6-9 Months","2026-02-16","20","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Small","2026-02-16","45","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Full Figure","2026-02-16","26","10"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","2026-02-16","16","1"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","2026-02-16","1","4"
"Baby Swaddle Set: Lilac","Hat & Bow","2026-02-16","38","0"
"Robes in Vintage Floral","Mia Robe / Short","2026-02-16","-1","0"
"Baby Swaddle Set: Black","Bow","2026-02-16","123","2"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Slim Petite","2026-02-16","-4","2"
"Finley Romper in Emerald","Emerald / 6-9 Months","2026-02-16","19","0"
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months","2026-02-16","37","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Full Figure","2026-02-16","15","4"
"Finley Romper in Dusty Rose","Dusty Rose / 6-9 Months","2026-02-16","32","0"
"Robes in Lilac","Laura Robe / Long","2026-02-16","0","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Standard","2026-02-16","24","59"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Medium","2026-02-16","15","3"
"Robes in Emerald","Mia Robe / Short","2026-02-16","59","9"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","2026-02-16","0","0"
"Finley Romper in Emerald","Emerald / 3-6 Months","2026-02-16","80","0"
"Finley Romper in Black","Black / 3-6 Months","2026-02-16","11","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Small","2026-02-16","9","0"
"Amelia Labor & Postpartum Gown in Sage","Sage / Standard","2026-02-16","17","10"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-02-16","41","0"
"Finley Romper in Black","Black / 18-24 Months","2026-02-16","83","0"
"Amelia Labor & Postpartum Gown Lilac","Full Figure","2026-02-16","1","0"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","2026-02-16","18","10"
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","2026-02-16","64","0"
"Robes in Plum","Laura Robe / Long","2026-02-16","0","1"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","2026-02-16","3","15"
"Finley Romper in Sage","Sage / Newborn","2026-02-16","-2","0"
"Finley Romper in Emerald","Emerald / Newborn","2026-02-16","-4","0"
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite","2026-02-16","-2","0"
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","2026-02-16","9","1"
"Robes in Sage","Mia Robe / Short","2026-02-16","-1","5"
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-02-16","80","16"
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","2026-02-16","0","1"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","2XL","2026-02-16","22","0"
"Robes in Periwinkle","Mia Robe / Short","2026-02-16","26","5"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-02-16","1","0"
"Baby Swaddle Set: Midnight Blue","Hat & Bow","2026-02-16","170","0"
"Lila Labor & Postpartum Gown in Black","Black / Standard","2026-02-16","255","41"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","2026-02-16","-2","16"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","2XL","2026-02-16","29","0"
"Robes in Deep Teal","Laura Robe / Long","2026-02-16","0","0"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","2026-02-16","5","10"
"Finley Romper in Dusty Rose","Dusty Rose / Newborn","2026-02-16","33","0"
"Baby Swaddle Set: Emerald","Hat & Bow","2026-02-16","82","0"
"Baby Swaddle Set: Sage","Hat & Bow","2026-02-16","-14","1"
"Amelia Labor & Postpartum Gown Lilac","Petite","2026-02-16","0","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","2026-02-16","2","1"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","2026-02-16","7","1"
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","2026-02-16","-1","5"
"Finley Romper in Vintage Floral","Vintage Floral / Newborn","2026-02-16","148","11"
"Amelia Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-02-16","16","6"
"Amelia Labor & Postpartum Gown in Plum","Plum / Curve","2026-02-16","44","1"
"Robes in Midnight Blue","Laura Robe / Long","2026-02-16","0","8"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Slim Petite","2026-02-16","8","0"
"Amelia Labor & Postpartum Gown in Black","Black / Standard","2026-02-16","50","16"
"Robes in Periwinkle","Laura Robe / Long","2026-02-16","-2","2"
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","2026-02-16","0","0"
"Finley Romper in Periwinkle","Periwinkle / 18-24 Months","2026-02-16","20","0"
"Finley Romper in Midnight Blue","Midnight Blue / 12-16 Months","2026-02-16","20","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Slim Petite","2026-02-16","-7","0"
"Finley Romper in Black","Black / 12-18 Months","2026-02-16","41","0"
"Robes in Dusty Rose","Mia Robe / Short","2026-02-16","29","2"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite","2026-02-16","-1","2"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-02-16","33","4"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","2026-02-16","23","1"
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","2026-02-16","38","6"
"Finley Romper in Deep Teal","Deep Teal / 9-12 Months","2026-02-16","65","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","2026-02-16","20","2"
"Lila Labor & Postpartum Gown in Lilac","Lilac / Slim Petite","2026-02-16","-1","15"
