"Product title","Product variant title","Product variant SKU","Week","Ending inventory units","Inventory units sold"
"Lila Labor & Postpartum Gown in Black","Black / Full Figure","10112","2026-04-20",88,27
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","107778","2026-04-20",1,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","75027","2026-04-20",8,1
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","10303","2026-04-20",-1,26
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","10275","2026-04-20",0,0
"Finley Romper in Emerald","Emerald / 3-6 Months","94222","2026-04-20",73,2
"Robes in Vintage Floral","Mia Robe / Short","10194","2026-04-20",4,11
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","10099","2026-04-20",1,0
"Finley Romper in Plum","Plum / Newborn","31114","2026-04-20",75,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","75028","2026-04-20",46,0
"Finley Romper in Deep Teal","Deep Teal / 6-9 Months","10211","2026-04-20",18,0
"Robes in Dusty Rose","Laura Robe / Long","10164","2026-04-20",18,3
"Lila Labor & Postpartum Gown in Lilac","Lilac / Curve","20011","2026-04-20",3,8
"Amelia Labor & Postpartum Gown in Plum","Plum / Slim Petite","10233","2026-04-20",9,3
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","107779","2026-04-20",-1,0
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Curve","10274","2026-04-20",6,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Small","75016","2026-04-20",45,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","75008","2026-04-20",22,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","2XL","75022","2026-04-20",20,0
"Finley Romper in Deep Teal","Deep Teal / 16-24 Months","10215","2026-04-20",63,0
"Robes in Lilac","Mia Robe / Short","29711","2026-04-20",21,0
"Finley Romper in Vintage Floral","Vintage Floral / Newborn","10216","2026-04-20",122,6
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Medium","75017","2026-04-20",24,1
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","940219","2026-04-20",31,0
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","10262","2026-04-20",5,10
"Finley Romper in Plum","Plum / 3-6 Months","31115","2026-04-20",-1,0
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","45101","2026-04-20",0,0
"Baby Swaddle Set: Sage","Hat & Bow","94562","2026-04-20",34,11
"Finley Romper in Periwinkle","Periwinkle / 9-12 Months",,"2026-04-20",20,0
"Finley Romper in Vintage Floral","Vintage Floral / 12-18 Months","10220","2026-04-20",11,0
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","10219","2026-04-20",5,0
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","62001","2026-04-20",9,4
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","10261","2026-04-20",142,2
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","10218","2026-04-20",7,0
"Finley Romper in Black","Black / 12-18 Months","10201","2026-04-20",40,0
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Full Figure","10110","2026-04-20",2,11
"Robes in Periwinkle","Mia Robe / Short","10192","2026-04-20",1,0
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Full Figure","17002","2026-04-20",0,0
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Petite",,"2026-04-20",0,0
"Finley Romper in Emerald","Emerald / Newborn","94221","2026-04-20",-5,1
"Finley Romper in Periwinkle","Periwinkle / 6-9 Months",,"2026-04-20",44,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","113011","2026-04-20",0,5
"Finley Romper in Periwinkle","Periwinkle / 3-6 Months",,"2026-04-20",29,1
"Finley Romper in Dusty Rose","Dusty Rose / 6-9 Months","24226","2026-04-20",31,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Medium","75009","2026-04-20",24,1
"Amelia Labor & Postpartum Gown in Black","Black / Petite","10224","2026-04-20",1,0
"Lila Labor & Postpartum Gown in Sage","Sage / Curve","10263","2026-04-20",5,4
"Amelia Labor & Postpartum Gown in Plum","Plum / Curve","10272","2026-04-20",6,3
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","17001","2026-04-20",0,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10074","2026-04-20",7,5
"Finley Romper in Midnight Blue","Midnight Blue / 3-6 Months","940217","2026-04-20",-2,0
"Robes in Plum","Laura Robe / Long","10166","2026-04-20",30,5
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","10104","2026-04-20",1,3
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","107780","2026-04-20",2,1
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","942229","2026-04-20",11,5
"Finley Romper in Sage","Sage / 6-9 Months","94232","2026-04-20",16,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","75018","2026-04-20",21,6
"Amelia Labor & Postpartum Gown Lilac","Full Figure","29706","2026-04-20",1,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Curve","10271","2026-04-20",1,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Standard","10094","2026-04-20",-1,0
"Robes in Emerald","Laura Robe / Long","10162","2026-04-20",18,2
"Robes in Deep Teal","Mia Robe / Short","10196","2026-04-20",51,4
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","101201","2026-04-20",35,10
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","10091","2026-04-20",215,31
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Slim Petite","20121","2026-04-20",-3,2
"Finley Romper in Lilac","Lilac / 6-9 Months","94235","2026-04-20",18,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Medium","66944","2026-04-20",15,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","75004","2026-04-20",59,0
"Robes in Sage","Laura Robe / Long","10170","2026-04-20",38,2
"Amelia Labor & Postpartum Gown Lilac","Petite","28704","2026-04-20",0,0
"Baby Swaddle Set: Deep Teal","Hat & Bow","10024","2026-04-20",5,14
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","75021","2026-04-20",21,3
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Extra Large","75011","2026-04-20",45,1
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","10231","2026-04-20",-2,0
"Amelia Labor & Postpartum Gown in Black","Black / Standard","10222","2026-04-20",0,5
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Slim Petite","20114","2026-04-20",-1,1
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","10098","2026-04-20",0,1
"Finley Romper in Black","Black / Newborn","10197","2026-04-20",100,0
"Lila Labor & Postpartum Gown in Deep Teal","Deep Teal / Full Figure","10092","2026-04-20",19,9
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Extra Large","75019","2026-04-20",18,2
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Petite","10230","2026-04-20",39,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","75006","2026-04-20",20,0
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","10100","2026-04-20",-4,0
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","20119","2026-04-20",0,5
"Finley Romper in Midnight Blue","Midnight Blue / Newborn","940216","2026-04-20",-3,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Extra Large","75003","2026-04-20",46,2
"Lila Labor & Postpartum Gown in Sage","Sage / Slim Petite",,"2026-04-20",1,0
"Lila Labor & Postpartum Gown in Lilac","Lilac / Standard","20005","2026-04-20",-1,1
